194175,koshimbe
194370,asade
194374,bhopar
194376,dahivli
194377,davdi
194380,gharivali
194381,ghesar
194383,golvali
194385,gurvli
194386,hedutane
194387,jambul
194393,kole
194401,mamanoli
241504,mangaon
194397,manivli
194404,nandivli tarfe ambernath
194396,nandivli tarfe panchanand
194405,nilje
194408,pisvali
194413,sandap
194416,sonarpada
194417,usarghar
241495,delwadi
194675,navghar ghatim
194677,new dapchari
194723,virathan br.
194857,varwade
194976,abaje
194989,chanbale
194998,gandhre
195001,gavrapur
195011,kalamkh-and
195020,kondhala
241510,nane
195037,parli
195036,plasai
195042,spane bk
195054,uijani
241520,vaveghar
192762,adali
241130,ainode
192763,ambadgaon
192766,ayee
192767,bodade
192771,ghodage
192770,ghodagewadi
192773,kalane
192768,kasai-dodamarg
192774,ker
192776,khokral
192777,kolzar
192778,konal
192779,kudase
192780,kumbral
192781,maneri
192782,mangeli
192783,matane
192784,morgaon
192785,morle
192787,parame
192769,phukeri
192789,pikule
192790,sasoli
192791,sateli-bhedshi
192793,talekhol
192794,talkat
192795,tervan-medhe
192796,usap
192797,vazare
192798,virdi
192800,zare
192799,zarebambar
192801,zolambe
193066,achirne
241142,ainari
193067,akavanebhom
193069,arule
193070,bhuibawada
193071,gadmath
193072,het
193073,jmbhawade
193074,karul
193076,kokosare
193078,kolape
193079,kumbhavade
193080,kurli
193081,kusur
193082,lore
193083,mangavali
193084,maunde
193085,nadhavade
193086,nanivade
193087,napane
193088,navale
193089,nerle
193090,nimarule
193091,sadure-shirale
193092,sangulwadi
193094,sonli
193096,tiravadetarfsaundal
193095,tiravadetkharepatan
193097,tithavali
193098,umbarde
193099,upale
193101,vengasar
193100,wabhave
193102,yedagaon
193249,agalgaon
193250,alipur
193251,aljapur
193252,ambabaiwadi
193254,arangaon
193255,babhulgaon
193256,balewadi
193257,bavi
193258,belgaon
193259,bhalgaon
193260,bhandegaon
193261,bhansale
193262,bhatambare
193263,bhoinje
193264,bhoyare
193265,boregaqon kh.
193266,borgaon (zadi)
193267,chare
193268,chikharde
193269,chincholi-dherewadi (n)
193270,chumb
193271,dadshinge
193272,dahitane
193274,dhamangaon (a)
193275,dhamangaon (dumala)
193276,dhanore
193277,dhorale
193278,dhotre
193279,gadegaon
193280,gatachiwadi-phaphalwadi
193285,gaudgaon
193281,ghanegaon
193282,ghari
193283,gholvewadi
193284,gormale
193286,gulpoli
193287,halduge
193288,hattijhattij (rat)chin
193325,helgaon (vhale)
193289,hingani (pan
193290,indapur
193291,irle
193292,irlewadi
